City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
473,Maumere,ID,-8.62,122.21,81.84,77,93,4.18,overcast clouds
474,Skibbereen,IE,51.55,-9.27,51.6,83,100,14.2,light rain
475,Vardo,NO,70.37,31.11,34.59,79,100,23.47,light rain
476,Big Spring,US,32.25,-101.48,93.27,20,1,5.01,clear sky
477,Suez,EG,29.97,32.53,64.62,83,0,9.51,clear sky
478,Santa Marta,CO,11.24,-74.20,87.85,66,40,11.5,scattered clouds
479,Okha,RU,53.57,142.95,38.93,79,12,5.64,few clouds
480,Ayagoz,KZ,47.97,80.44,37.85,46,62,3.06,broken clouds
481,Harper,LR,4.38,-7.72,77.85,80,100,9.04,overcast clouds
482,Fortuna Foothills,US,32.66,-114.41,88.21,37,1,5.99,clear sky
483,Sakaraha,MG,-22.90,44.53,71.87,54,67,3.27,broken clouds
484,Hailar,CN,49.20,119.70,30.87,88,31,10.58,scattered clouds
485,Pontes E Lacerda,BR,-15.23,-59.34,79.7,54,100,2.89,light rain
486,Gobabis,NA,-22.45,18.97,69.19,15,0,9.75,clear sky
487,Mattru,SL,7.62,-11.83,74.25,96,100,2.26,light rain
488,Borodino,RU,55.91,94.90,43.34,67,84,16.62,broken clouds
489,Kefalos,GR,36.75,26.96,62.82,67,20,8.05,few clouds
490,Kavaratti,IN,10.57,72.64,82.4,73,55,14.45,broken clouds
491,Mogadishu,SO,2.04,45.34,79.02,81,48,10.51,scattered clouds
492,Phalombe,MW,-15.81,35.65,72.43,78,28,3.44,light rain
493,Pisco,PE,-13.70,-76.22,64.45,72,0,19.57,clear sky
494,Hede,CN,33.77,120.25,54.61,80,43,4.18,light rain
495,Slave Lake,CA,55.28,-114.77,42.78,93,90,6.91,overcast clouds
496,Temiscaming,CA,46.72,-79.10,50.68,61,100,6.91,light rain
497,Villanueva,HN,15.32,-88.00,92.39,59,20,18.41,few clouds
498,Gainesville,US,29.65,-82.32,82.24,67,1,1.01,clear sky
499,Jawhar,SO,2.78,45.50,75.69,82,40,7.34,scattered clouds
500,Bontang,ID,0.13,117.50,77.16,87,89,3.58,overcast clouds
501,Samarai,PG,-10.62,150.67,83.07,73,42,9.15,scattered clouds
502,Dmitrovsk-Orlovskiy,RU,52.51,35.15,29.97,75,17,7.56,few clouds
503,Oksfjord,NO,70.24,22.35,29.32,93,82,10.02,broken clouds
504,Nosy Varika,MG,-20.58,48.53,70.52,90,2,4.54,clear sky
505,Mahur,IN,25.17,93.12,61.7,89,13,1.34,few clouds
506,Comodoro Rivadavia,AR,-45.87,-67.50,60.66,31,0,23.02,clear sky
507,Parfenyevo,RU,58.48,43.41,34.81,95,100,13.02,snow
508,Kapuskasing,CA,49.42,-82.43,37.49,81,20,4.61,few clouds
509,Monkey Bay,MW,-14.07,34.92,81.68,59,41,4.0,scattered clouds
510,Todos Santos,MX,23.45,-110.22,87.12,71,0,10.4,clear sky
511,Barcelos,PT,41.54,-8.62,58.84,86,0,3.83,clear sky
512,Seinajoki,FI,62.79,22.83,46.0,80,90,4.0,overcast clouds
513,Faya,SA,18.39,42.45,57.31,74,0,2.39,clear sky
514,Bagno A Ripoli,IT,43.75,11.32,56.53,71,40,3.44,scattered clouds
515,Montero,BO,-17.33,-63.25,80.28,33,80,2.46,broken clouds
516,Naliya,IN,23.27,68.83,76.64,63,0,5.95,clear sky
517,Kumylzhenskaya,RU,49.88,42.59,29.95,68,25,4.52,scattered clouds
518,Miri,MY,4.41,114.01,77.14,100,40,1.14,light rain
519,Marzuq,YE,14.40,46.47,70.25,52,24,2.33,few clouds
520,Nadym,RU,65.53,72.52,24.96,93,100,4.72,overcast clouds
521,Batagay-Alyta,RU,67.80,130.41,2.08,90,100,2.91,overcast clouds
522,Dunedin,NZ,-45.87,170.50,58.8,79,100,5.01,overcast clouds
523,Vengerovo,RU,55.68,76.75,42.55,89,100,12.71,light rain
524,Gladstone,AU,-23.85,151.25,72.79,83,75,6.91,moderate rain
525,Sebastian,US,35.17,-94.27,70.36,61,1,2.24,clear sky
526,Lhokseumawe,ID,5.18,97.15,77.05,86,85,2.75,overcast clouds
527,Valdivia,CL,-39.81,-73.25,57.29,94,100,3.09,overcast clouds
528,Tarrafal,CV,15.28,-23.77,79.59,78,39,14.74,scattered clouds
529,Constantine,DZ,36.37,6.61,58.41,94,75,2.3,broken clouds
530,Tual,ID,-5.67,132.75,83.19,74,39,7.31,scattered clouds
531,Trudovoye,RU,43.31,132.08,38.93,93,75,0.0,broken clouds
532,Czersk,PL,53.80,17.98,43.65,72,100,6.02,overcast clouds
533,Urucui,BR,-7.23,-44.56,83.39,61,61,1.32,broken clouds
534,Iskateley,RU,67.68,53.15,22.23,84,37,10.89,scattered clouds
535,Olds,CA,51.78,-114.10,57.43,24,22,14.97,few clouds
536,Pacifica,US,37.61,-122.49,65.73,78,40,7.0,haze
537,Lake City,US,30.19,-82.64,81.0,73,90,5.75,overcast clouds
538,Olovyannaya,RU,50.95,115.57,30.83,80,3,9.01,clear sky
539,Limoges,FR,45.75,1.33,52.36,100,90,4.61,mist
540,Gornozavodsk,RU,58.38,58.32,25.59,83,76,10.2,broken clouds
541,Diffa,NE,13.32,12.61,85.95,23,17,8.77,few clouds
542,Semnan,IR,35.57,53.40,53.53,27,0,4.38,clear sky
