City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Inongo,CD,2021-10-19 18:17:10,-1.95,18.2667,73.33,95,94,2.51
280,Zaragoza,ES,2021-10-19 18:17:11,41.6561,-0.8773,72.9,62,0,5.01
281,Mirnyy,RU,2021-10-19 18:17:11,62.5353,113.9611,32.27,93,100,12.03
282,Buzdyak,RU,2021-10-19 18:17:12,54.5833,54.55,40.05,62,100,5.79
283,San Jose,US,2021-10-19 18:17:13,37.3394,-121.895,65.39,50,75,10.36
284,Bambanglipuro,ID,2021-10-19 18:13:16,-7.95,110.2833,77.56,86,98,2.55
285,Kommunisticheskiy,RU,2021-10-19 18:17:13,61.6789,64.4819,36.48,67,96,10.96
286,Beloha,MG,2021-10-19 18:17:14,-25.1667,45.05,67.24,79,100,11.43
287,San Patricio,US,2021-10-19 18:12:51,28.017,-97.5169,86.41,52,100,12.71
288,Nogales,MX,2021-10-19 18:16:52,31.3086,-110.9422,73.08,27,1,10.36
289,Moranbah,AU,2021-10-19 18:17:15,-22.0016,148.0466,70.21,63,3,11.1
290,Axim,GH,2021-10-19 18:15:01,4.8699,-2.2405,79.5,81,98,8.68
291,Hervey Bay,AU,2021-10-19 18:16:24,-25.2986,152.8535,67.03,83,0,2.64
292,Astara,AZ,2021-10-19 18:17:16,38.5,48.6667,52.5,93,100,0.51
293,Muisne,EC,2021-10-19 18:17:16,0.6,-80.0333,82.51,79,99,12.15
